,NIP,Cl_T
0,N201900001,1
1,N201900002,5
2,N201900003,1
3,N201900004,5
4,N201900005,1
5,N201900006,5
6,N201900007,5
7,N201900008,1
8,N201900009,1
9,N201900010,1
10,N201900011,3
11,N201900012,1
12,N201900013,1
13,N201900014,1
14,N201900015,5
15,N201900016,5
16,N201900017,5
17,N201900018,1
18,N201900019,1
19,N201900020,1
20,N201900021,5
21,N201900022,5
22,N201900023,5
23,N201900024,1
24,N201900025,4
25,N201900026,5
26,N201900027,5
27,N201900028,1
28,N201900029,5
29,N201900030,1
30,N201900032,1
31,N201900033,1
32,N201900034,1
33,N201900036,5
34,N201900037,1
35,N201900038,5
36,N201900039,1
37,N201900040,5
38,N201900041,5
39,N201900042,5
40,N201900043,5
41,N201900044,5
42,N201900045,5
43,N201900046,5
44,N201900047,5
45,N201900048,0
46,N201900049,5
47,N201900053,1
48,N201900054,1
49,N201900055,5
50,N201900056,1
51,N201900057,1
52,N201900058,1
53,N201900059,1
54,N201900060,1
55,N201900061,5
56,N201900062,1
57,N201900063,1
58,N201900064,1
59,N201900065,5
60,N201900066,5
61,N201900067,3
62,N201900068,3
63,N201900069,5
64,N201900070,1
65,N201900071,3
66,N201900072,5
67,N201900073,5
68,N201900074,1
69,N201900075,1
70,N201900076,1
71,N201900077,1
72,N201900078,1
73,N201900079,5
74,N201900080,1
75,N201900081,1
76,N201900083,1
77,N201900084,1
78,N201900085,5
79,N201900086,1
80,N201900087,5
81,N201900088,3
82,N201900089,1
83,N201900090,1
84,N201900091,5
85,N201900092,5
86,N201900093,1
87,N201900094,5
88,N201900095,5
89,N201900096,1
90,N201900097,1
91,N201900098,5
92,N201900099,1
93,N201900100,5
94,N201900101,1
95,N201900102,5
96,N201900103,1
97,N201900104,5
98,N201900105,5
99,N201900106,1
100,N201900107,5
101,N201900108,5
102,N201900109,1
103,N201900110,1
104,N201900111,1
105,N201900112,5
106,N201900113,1
107,N201900114,5
108,N201900115,5
109,N201900116,5
110,N201900117,1
111,N201900118,5
112,N201900119,5
113,N201900120,1
114,N201900121,5
115,N201900122,5
116,N201900123,1
117,N201900127,1
118,N201900128,1
119,N201900129,3
120,N201900130,5
121,N201900131,5
122,N201900132,1
123,N201900133,5
124,N201900134,5
125,N201900135,1
126,N201900136,5
127,N201900137,5
128,N201900138,5
129,N201900139,5
130,N201900140,5
131,N201900141,1
132,N201900142,3
133,N201900143,1
134,N201900144,5
135,N201900145,1
136,N201900146,1
137,N201900147,1
138,N201900148,1
139,N201900149,0
140,N201900150,1
141,N201900151,1
142,N201900152,1
143,N201900153,1
144,N201900154,1
145,N201900155,1
146,N201900156,5
147,N201900157,1
148,N201900158,1
149,N201900159,1
150,N201900160,1
151,N201900161,5
152,N201900162,5
153,N201900164,5
154,N201900165,5
155,N201900166,1
156,N201900167,1
157,N201900168,5
158,N201900169,3
159,N201900170,1
160,N201900171,5
161,N201900172,1
162,N201900173,1
163,N201900174,5
164,N201900175,1
165,N201900176,1
166,N201900177,1
167,N201900178,1
168,N201900179,1
169,N201900180,1
170,N201900181,1
171,N201900182,5
172,N201900183,1
173,N201900184,5
174,N201900186,1
175,N201900187,1
176,N201900188,5
177,N201900189,3
178,N201900190,1
179,N201900191,1
180,N201900192,1
181,N201900193,1
182,N201900194,1
183,N201900195,1
184,N201900196,1
185,N201900197,1
186,N201900198,3
187,N201900200,0
188,N201900201,5
189,N201900202,3
190,N201900203,5
191,N201900204,5
192,N201900205,5
193,N201900206,1
194,N201900207,1
195,N201900208,5
196,N201900209,5
197,N201900210,5
198,N201900211,3
199,N201900212,5
200,N201900213,3
201,N201900214,5
202,N201900215,1
203,N201900216,3
204,N201900217,1
205,N201900218,1
206,N201900219,5
207,N201900220,1
208,N201900221,5
209,N201900222,1
210,N201900223,5
211,N201900224,1
212,N201900225,5
213,N201900226,1
214,N201900227,3
215,N201900228,5
216,N201900229,1
217,N201900230,5
218,N201900231,0
219,N201900232,1
220,N201900233,5
221,N201900234,1
222,N201900235,1
223,N201900236,3
224,N201900237,1
225,N201900238,1
226,N201900239,1
227,N201900240,5
228,N201900241,1
229,N201900242,5
230,N201900243,5
231,N201900244,5
232,N201900245,1
233,N201900246,1
234,N201900247,3
235,N201900248,1
236,N201900249,5
237,N201900250,1
238,N201900251,1
239,N201900252,1
240,N201900253,5
241,N201900254,1
242,N201900255,1
243,N201900256,1
244,N201900257,3
245,N201900258,1
246,N201900259,3
247,N201900260,3
248,N201900261,5
249,N201900262,5
250,N201900263,5
251,N201900264,1
252,N201900265,1
253,N201900266,5
254,N201900267,5
255,N201900268,1
256,N201900269,1
257,N201900270,1
258,N201900271,1
259,N201900272,5
260,N201900273,1
261,N201900274,3
262,N201900275,0
263,N201900276,3
264,N201900277,1
265,N201900278,1
266,N201900279,5
267,N201900280,5
268,N201900281,1
269,N201900282,5
270,N201900283,5
271,N201900284,1
272,N201900285,1
273,N201900286,1
274,N201900287,5
275,N201900288,1
276,N201900289,5
277,N201900290,3
278,N201900291,5
279,N201900292,5
280,N201900294,3
281,N201900295,1
282,N201900297,1
283,N201900298,1
284,N201900299,1
285,N201900300,1
286,N201900301,1
287,N201900302,1
288,N201900303,3
289,N201900304,5
290,N201900305,1
291,N201900306,1
292,N201900307,1
293,N201900308,1
294,N201900309,1
295,N201900310,0
296,N201900311,1
297,N201900312,5
