,NIP,Concat_Cl_P,X_abscisse
0,N200804686,0,0.0
1,N201604900,0,0.08326394671107411
2,N201702935,0,0.16652789342214822
3,N201704556,0,0.2497918401332223
4,N201702503,0,0.33305578684429643
5,N201604050,0,0.41631973355537055
6,N201505473,0,0.4995836802664446
7,N201800429,0,0.5828476269775188
8,N201304212,0,0.6661115736885929
9,N201505996,0,0.7493755203996669
10,N201203646,0,0.8326394671107411
11,N201501828,0,0.9159034138218152
12,N201601725,0,0.9991673605328892
13,N201705576,0,1.0824313072439633
14,N201105767,0,1.1656952539550376
15,N200200029,0,1.2489592006661117
16,N201703505,0,1.3322231473771857
17,N201705492,0,1.4154870940882598
18,N201802958,0,1.4987510407993339
19,N201600339,0,1.5820149875104081
20,N201701408,0,1.6652789342214822
21,N201804032,0,1.7485428809325563
22,N201505539,0,1.8318068276436303
23,N201701834,0,1.9150707743547044
24,N201502590,0,1.9983347210657785
25,N200904705,0,2.0815986677768525
26,N201804352,0,2.1648626144879266
27,N199903205,0,2.248126561199001
28,N200303022,0,2.331390507910075
29,N201805305,0,2.4146544546211492
30,N198905293,0,2.4979184013322233
31,N198300511,0,2.5811823480432974
32,N201805693,0,2.6644462947543714
33,N201804328,0,2.7477102414654455
34,N201805773,0,2.8309741881765196
35,N201503003,0,2.9142381348875936
36,N201806254,0,2.9975020815986677
37,N201604178,0,3.0807660283097418
38,N200303315,0,3.1640299750208163
39,N201706490,0,3.2472939217318904
40,N200902650,0,3.3305578684429644
41,N200902874,0,3.4138218151540385
42,N201606340,0,3.4970857618651126
43,N201500989,0,3.5803497085761866
44,N201403980,0,3.6636136552872607
45,N201402747,0,3.7468776019983348
46,N201806331,0,3.830141548709409
47,N201705441,0,3.913405495420483
48,N201804780,0,3.996669442131557
49,N201601477,0,4.0799333888426315
50,N200303812,0,4.163197335553705
51,N201707102,0,4.24646128226478
52,N200905043,0,4.329725228975853
53,N201305180,0,4.412989175686928
54,N201504609,0,4.496253122398002
55,N201705402,0,4.579517069109076
56,N201605571,0,4.66278101582015
57,N201702618,0,4.746044962531224
58,N201406431,0,4.8293089092422985
59,N201704685,0,4.912572855953372
60,N201703646,0,4.995836802664447
61,N201702444,0,5.07910074937552
62,N201704429,0,5.162364696086595
63,N201803897,0,5.245628642797668
64,N201100250,0,5.328892589508743
65,N201606838,0,5.412156536219817
66,N201100170,0,5.495420482930891
67,N201504734,0,5.5786844296419655
68,N201803500,0,5.661948376353039
69,N201605700,0,5.745212323064114
70,N201501000,0,5.828476269775187
