,NIP,Cl_T3
0,N198300511,4
1,N198412339,3
2,N198502208,2
3,N198510292,4
4,N198600228,4
5,N198600899,0
6,N198702410,4
7,N198704237,0
8,N198706532,3
9,N198902201,3
10,N198902913,4
11,N199006074,2
12,N199106382,0
13,N199202365,4
14,N199301061,0
15,N199301601,0
16,N199402447,4
17,N199500115,3
18,N199501223,3
19,N199701151,0
20,N199702270,3
21,N199702998,4
22,N199703916,4
23,N199704298,4
24,N199804148,3
25,N199900994,0
26,N199901170,0
27,N199904079,3
28,N200000242,4
29,N200000372,0
30,N200000791,3
31,N200102831,3
32,N200200738,0
33,N200201750,0
34,N200201832,0
35,N200204146,2
36,N200301671,0
37,N200302052,2
38,N200302575,3
39,N200303315,4
40,N200303693,4
41,N200400662,0
42,N200500254,3
43,N200501731,0
44,N200503450,3
45,N200504430,2
46,N200600743,0
47,N200600841,3
48,N200601293,0
49,N200601652,2
50,N200603450,4
51,N200604577,0
52,N200701005,3
53,N200701843,0
54,N200701980,2
55,N200702163,4
56,N200702938,3
57,N200705092,4
58,N200706622,0
59,N200801968,3
60,N200802092,3
61,N200802103,3
62,N200802194,0
63,N200802253,3
64,N200802981,4
65,N200803270,3
66,N200804605,3
67,N200805703,2
68,N200806496,0
69,N200900366,3
70,N200900380,0
71,N200903189,3
72,N200903854,2
73,N200903897,2
74,N200904151,0
75,N200904254,4
76,N200904623,0
77,N200904972,2
78,N200905507,0
79,N200905749,4
80,N201000969,0
81,N201003278,2
82,N201004076,2
83,N201005274,0
84,N201006229,4
85,N201006713,3
86,N201006915,2
87,N201006939,2
88,N201101562,3
89,N201102217,0
90,N201102366,2
91,N201102487,0
92,N201104285,0
93,N201105263,4
94,N201105723,4
95,N201106594,3
96,N201106775,2
97,N201106871,2
98,N201200769,3
99,N201201037,4
100,N201201591,0
101,N201201727,3
102,N201201829,2
103,N201202367,4
104,N201202658,0
105,N201202930,0
106,N201203100,0
107,N201203378,2
108,N201203646,0
109,N201203856,2
110,N201204512,3
111,N201204874,4
112,N201205073,0
113,N201205149,0
114,N201205940,3
115,N201206329,2
116,N201206459,0
117,N201303568,0
118,N201304212,0
119,N201304295,0
