,NIP,Cl_T9
0,N198300511,0
1,N198412339,1
2,N198502208,4
3,N198510292,0
4,N198600228,0
5,N198600899,2
6,N198702410,0
7,N198704237,2
8,N198706532,1
9,N198902201,1
10,N198902913,0
11,N199006074,4
12,N199106382,2
13,N199202365,0
14,N199301061,2
15,N199301601,2
16,N199402447,0
17,N199500115,1
18,N199501223,1
19,N199701151,2
20,N199702270,1
21,N199702998,0
22,N199703916,0
23,N199704298,0
24,N199804148,1
25,N199900994,2
26,N199901170,2
27,N199904079,1
28,N200000242,0
29,N200000372,2
30,N200000791,1
31,N200102831,1
32,N200200738,2
33,N200201750,2
34,N200201832,2
35,N200204146,4
36,N200301671,2
37,N200302052,4
38,N200302575,1
39,N200303315,0
40,N200303693,0
41,N200400662,2
42,N200500254,1
43,N200501731,2
44,N200503450,1
45,N200504430,4
46,N200600743,2
47,N200600841,1
48,N200601293,2
49,N200601652,4
50,N200603450,0
51,N200604577,2
52,N200701005,1
53,N200701843,2
54,N200701980,4
55,N200702163,0
56,N200702938,1
57,N200705092,0
58,N200706622,2
59,N200801968,1
60,N200802092,1
61,N200802103,1
62,N200802194,2
63,N200802253,1
64,N200802981,0
65,N200803270,1
66,N200804605,1
67,N200805703,4
68,N200806496,2
69,N200900366,1
70,N200900380,2
71,N200903189,1
72,N200903854,4
73,N200903897,4
74,N200904151,2
75,N200904254,0
76,N200904623,2
77,N200904972,4
78,N200905507,2
79,N200905749,0
80,N201000969,2
81,N201003278,4
82,N201004076,4
83,N201005274,2
84,N201006229,0
85,N201006713,1
86,N201006915,4
87,N201006939,4
88,N201101562,1
89,N201102217,2
90,N201102366,4
91,N201102487,2
92,N201104285,2
93,N201105263,0
94,N201105723,0
95,N201106594,1
96,N201106775,4
97,N201106871,4
98,N201200769,1
99,N201201037,0
100,N201201591,2
101,N201201727,1
102,N201201829,4
103,N201202367,0
104,N201202658,2
105,N201202930,2
106,N201203100,2
107,N201203378,4
108,N201203646,2
109,N201203856,4
110,N201204512,1
111,N201204874,0
112,N201205073,2
113,N201205149,2
114,N201205940,1
115,N201206329,4
116,N201206459,2
117,N201303568,2
118,N201304212,2
119,N201304295,2
120,N201304664,2
121,N201304742,4
122,N201304833,1
123,N201304875,1
124,N201305180,4
125,N201305357,2
126,N201305580,4
127,N201305679,1
128,N201305765,2
129,N201306207,4
130,N201306481,1
131,N201307669,2
132,N201400337,2
133,N201400750,2
134,N201400893,1
135,N201401154,1
136,N201401267,2
137,N201401275,1
138,N201402294,1
139,N201402450,4
140,N201402464,1
141,N201402594,2
142,N201402747,4
143,N201402874,1
144,N201403201,4
145,N201403231,2
146,N201403736,2
147,N201403762,2
148,N201403835,2
149,N201403980,2
150,N201404118,2
151,N201405759,2
152,N201407093,2
153,N201500553,1
154,N201500660,4
155,N201500989,2
156,N201501780,1
157,N201501838,4
158,N201502590,2
159,N201502656,2
160,N201502664,1
161,N201502685,2
162,N201502877,0
163,N201503003,2
164,N201503063,1
165,N201503259,2
166,N201503772,0
167,N201503922,2
168,N201503990,4
169,N201504281,2
170,N201504323,4
171,N201504689,4
172,N201504734,4
173,N201505285,4
174,N201505841,1
175,N201506332,0
176,N201506622,1
177,N201506765,2
178,N201506798,4
179,N201506900,2
180,N201507075,1
181,N201600360,0
182,N201600522,1
183,N201600638,0
184,N201600746,1
185,N201600921,0
186,N201601079,4
187,N201601477,4
188,N201601495,1
189,N201601533,1
190,N201601545,1
191,N201601947,2
192,N201602132,4
193,N201602241,2
194,N201602601,1
195,N201602880,2
196,N201602884,2
197,N201602984,1
198,N201603181,2
199,N201603355,2
200,N201604050,2
201,N201604116,2
202,N201604178,2
203,N201604425,2
204,N201604693,4
205,N201604744,2
206,N201604865,0
207,N201605319,2
208,N201605504,2
209,N201605563,2
210,N201605830,2
211,N201606340,2
212,N201606342,1
213,N201606455,2
214,N201700156,1
215,N201700487,2
216,N201700726,4
217,N201700901,4
218,N201701045,4
219,N201701530,2
220,N201701652,2
221,N201702058,4
222,N201702085,0
223,N201702120,4
224,N201702618,4
225,N201702654,4
226,N201702758,4
227,N201702935,2
228,N201703472,2
229,N201703570,1
230,N201703729,1
231,N201703896,2
232,N201703918,4
233,N201704012,2
234,N201704212,2
235,N201704292,2
236,N201704399,1
237,N201704685,4
238,N201704974,2
239,N201705029,2
240,N201705121,4
241,N201705133,4
242,N201705187,0
243,N201705512,1
244,N201705694,2
245,N201705921,4
246,N201706024,2
247,N201706031,4
248,N201706065,2
249,N201706141,4
250,N201706142,2
251,N201706288,2
252,N201706483,4
253,N201706490,0
254,N201706511,2
255,N201706598,2
256,N201706823,2
257,N201706982,1
258,N201706998,1
259,N201707096,2
260,N201707102,4
261,N201707219,2
262,N201707224,4
263,N201707227,4
264,N201800012,2
265,N201800053,1
266,N201800055,4
267,N201800109,4
268,N201800152,4
269,N201800199,4
270,N201800517,4
271,N201800626,2
272,N201800742,4
273,N201800768,2
274,N201800808,2
275,N201800865,2
276,N201800916,4
277,N201801031,1
278,N201801047,4
279,N201801154,2
280,N201801296,4
281,N201801309,4
282,N201801322,4
283,N201801356,2
284,N201801449,2
285,N201801450,2
286,N201801472,2
287,N201801476,2
288,N201801509,2
289,N201801517,2
290,N201801535,2
291,N201801651,4
292,N201801668,2
293,N201801710,2
294,N201801734,2
295,N201801746,2
296,N201801774,4
297,N201801798,2
298,N201801840,2
299,N201801854,2
300,N201801864,2
301,N201801868,2
302,N201801916,2
303,N201801956,1
304,N201801958,2
305,N201801960,2
306,N201801987,2
307,N201802002,2
308,N201802083,2
309,N201802127,2
310,N201802143,2
311,N201802158,2
312,N201802212,2
313,N201802258,4
314,N201802263,4
315,N201802324,4
316,N201802363,2
317,N201802410,2
318,N201802424,2
319,N201802506,2
320,N201802518,2
321,N201802529,1
322,N201802532,2
323,N201802542,4
324,N201802598,4
325,N201802626,1
326,N201802653,2
327,N201802676,2
328,N201802694,2
329,N201802708,4
330,N201802729,2
331,N201802777,2
332,N201802856,4
333,N201802863,2
334,N201802894,2
335,N201802929,2
336,N201802938,4
337,N201802947,4
338,N201803028,2
339,N201803073,4
340,N201803145,4
341,N201803187,2
342,N201803204,2
343,N201803255,2
344,N201803283,2
345,N201803298,4
346,N201803347,4
347,N201803415,2
348,N201803419,2
349,N201803420,1
350,N201803436,4
351,N201803450,2
352,N201803452,4
353,N201803465,2
354,N201803500,4
355,N201803561,2
356,N201803567,2
357,N201803632,2
358,N201803635,2
359,N201803645,4
360,N201803672,2
361,N201803679,2
362,N201803684,2
363,N201803721,2
364,N201803763,2
