,NIP,Cl_T
0,N198300511,5
1,N198302025,1
2,N198302546,0
3,N198303963,2
4,N198401875,5
5,N198403316,1
6,N198410788,1
7,N198412339,3
8,N198502208,2
9,N198507945,0
10,N198510292,5
11,N198600228,5
12,N198600847,3
13,N198600899,1
14,N198601213,5
15,N198700065,1
16,N198701208,1
17,N198702410,5
18,N198704237,1
19,N198706532,3
20,N198806015,1
21,N198900219,3
22,N198901701,2
23,N198902201,3
24,N198902913,5
25,N198903744,1
26,N198905293,5
27,N198906785,1
28,N199006074,2
29,N199100051,5
30,N199100865,2
31,N199106382,1
32,N199200959,2
33,N199202365,5
34,N199300284,5
35,N199301061,1
36,N199301601,1
37,N199302118,0
38,N199402356,5
39,N199402447,5
40,N199402901,3
41,N199500115,3
42,N199501208,1
43,N199501223,0
44,N199503168,5
45,N199602363,1
46,N199701151,1
47,N199701601,1
48,N199702270,0
49,N199702998,5
50,N199703831,5
51,N199703916,5
52,N199704012,1
53,N199704298,5
54,N199800296,1
55,N199801868,1
56,N199802197,1
57,N199802420,0
58,N199803949,3
59,N199804148,3
60,N199804183,1
61,N199900263,2
62,N199900994,1
63,N199901170,1
64,N199903205,1
65,N199904079,3
66,N200000242,5
67,N200000372,1
68,N200000791,3
69,N200004345,1
70,N200100036,1
71,N200102464,0
72,N200102831,0
73,N200104074,3
74,N200200029,1
75,N200200426,1
76,N200200514,1
77,N200200738,1
78,N200200756,0
79,N200201750,1
80,N200201832,1
81,N200201878,3
82,N200204146,2
83,N200204219,3
84,N200301118,5
85,N200301671,1
86,N200302044,3
87,N200302052,2
88,N200302575,3
89,N200302801,0
90,N200303022,1
91,N200303315,5
92,N200303600,3
93,N200303693,5
94,N200303812,2
95,N200304007,1
96,N200304353,3
97,N200400049,1
98,N200400050,1
99,N200400662,1
100,N200401550,3
101,N200401653,1
102,N200401716,1
103,N200403465,3
104,N200404325,5
105,N200500254,3
106,N200500467,2
107,N200500832,0
108,N200501731,1
109,N200502077,1
