,NIP,Cl_T
0,N198300511,1
1,N198302025,0
2,N198302546,2
3,N198303963,5
4,N198401875,1
5,N198403316,0
6,N198410788,0
7,N198412339,4
8,N198502208,5
9,N198507945,2
10,N198510292,1
11,N198600228,1
12,N198600847,4
13,N198600899,0
14,N198601213,1
15,N198700065,0
16,N198701208,0
17,N198702410,1
18,N198704237,0
19,N198706532,4
20,N198806015,0
21,N198900219,4
22,N198901701,5
23,N198902201,4
24,N198902913,1
25,N198903744,0
26,N198905293,1
27,N198906785,0
28,N199006074,5
29,N199100051,1
30,N199100865,5
31,N199106382,0
32,N199200959,5
33,N199202365,1
34,N199300284,1
35,N199301061,0
36,N199301601,0
37,N199302118,2
38,N199402356,1
39,N199402447,1
40,N199402901,4
41,N199500115,4
42,N199501208,0
43,N199501223,2
44,N199503168,1
45,N199602363,0
46,N199701151,0
47,N199701601,0
48,N199702270,2
49,N199702998,1
50,N199703831,5
51,N199703916,1
52,N199704012,0
53,N199704298,1
54,N199800296,0
55,N199801868,0
56,N199802197,0
57,N199802420,2
58,N199803949,4
59,N199804148,4
60,N199804183,0
61,N199900263,5
62,N199900994,0
63,N199901170,0
64,N199903205,0
65,N199904079,4
66,N200000242,1
67,N200000372,0
68,N200000791,4
69,N200004345,0
70,N200100036,0
71,N200102464,2
72,N200102831,2
73,N200104074,4
74,N200200029,0
75,N200200426,0
76,N200200514,0
77,N200200738,0
78,N200200756,2
79,N200201750,0
80,N200201832,0
81,N200201878,4
82,N200204146,5
83,N200204219,4
84,N200301118,1
85,N200301671,0
86,N200302044,4
87,N200302052,5
88,N200302575,4
89,N200302801,2
90,N200303022,0
91,N200303315,1
92,N200303600,4
93,N200303693,1
94,N200303812,5
95,N200304007,0
96,N200304353,4
97,N200400049,0
98,N200400050,0
99,N200400662,0
100,N200401550,4
101,N200401653,0
102,N200401716,0
103,N200403465,4
104,N200404325,1
105,N200500254,4
106,N200500467,5
107,N200500832,2
108,N200501731,0
109,N200502077,0
110,N200503450,4
111,N200504397,0
112,N200504401,5
113,N200504430,5
114,N200504495,5
115,N200505297,2
116,N200600654,1
117,N200600743,0
118,N200600755,4
119,N200600841,4
120,N200601293,0
121,N200601652,5
122,N200601727,0
123,N200601943,0
124,N200603230,2
125,N200603450,1
126,N200604577,0
127,N200604992,1
128,N200605555,5
129,N200605727,2
130,N200700792,0
131,N200701005,4
132,N200701843,0
133,N200701980,5
134,N200702163,1
135,N200702440,0
136,N200702658,4
137,N200702703,0
138,N200702938,4
139,N200703362,0
140,N200704463,5
141,N200704779,2
142,N200705092,1
143,N200706622,0
144,N200706627,5
145,N200800424,0
146,N200801154,0
147,N200801968,2
148,N200802092,4
149,N200802103,2
150,N200802194,0
151,N200802253,4
152,N200802677,0
153,N200802981,1
154,N200803270,4
155,N200804605,2
156,N200804671,1
157,N200804686,0
158,N200805703,5
159,N200806103,2
160,N200806496,0
161,N200900366,4
162,N200900380,0
163,N200901835,0
164,N200902650,0
165,N200902874,0
166,N200902975,2
167,N200903137,5
168,N200903189,4
169,N200903552,4
170,N200903761,1
171,N200903854,5
172,N200903897,5
173,N200904151,0
174,N200904254,1
175,N200904592,0
176,N200904623,0
177,N200904705,1
178,N200904972,5
179,N200905043,5
180,N200905446,0
181,N200905507,0
182,N200905749,1
183,N200906032,2
184,N200906515,5
185,N201000080,0
186,N201000858,0
187,N201000969,0
188,N201001128,2
189,N201002853,2
190,N201003278,5
191,N201003966,5
192,N201004076,5
193,N201004260,5
194,N201005274,0
195,N201005482,0
196,N201005921,0
197,N201006229,1
198,N201006713,2
199,N201006915,5
200,N201006939,5
201,N201100170,5
202,N201100250,5
203,N201100365,2
204,N201101562,4
205,N201101571,0
206,N201101601,0
207,N201102006,0
208,N201102217,0
209,N201102366,5
210,N201102487,0
211,N201103278,0
212,N201104285,0
213,N201105263,1
214,N201105651,2
215,N201105723,1
216,N201105767,0
217,N201106594,4
218,N201106645,0
219,N201106775,5
220,N201106871,5
221,N201200301,1
222,N201200611,0
