,NIP,1900-Q000001,1900-Q000002,1900-Q000003,1900-Q000004,1901-Q000001,1901-Q000002,1901-Q000003,1901-Q000004,1902-Q000001,1902-Q000002,1902-Q000003,1902-Q000004,1903-Q000001,FT1,FV1,FT2,FV2
0,N197403668,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
1,N198300356,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
2,N198300511,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
3,N198302025,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
4,N198302546,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
5,N198303522,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
6,N198303901,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
7,N198303963,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
8,N198401875,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
9,N198403316,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
10,N198403654,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
11,N198404865,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
12,N198410754,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
13,N198410788,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
14,N198412339,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
15,N198502105,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
16,N198502208,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
17,N198502258,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
18,N198502640,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
19,N198504436,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
20,N198507368,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
21,N198507945,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
22,N198509758,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
23,N198510292,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
24,N198600117,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
25,N198600228,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
26,N198600346,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
27,N198600847,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
28,N198600899,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
29,N198601213,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
